Serial Port,Voltage (V),Average X,Average Y,Average Z
COM20,0.4952,-13.86,-53.4,79.12
COM21,0.4952,-57.87,35.14,-139.75
COM16,0.3263,-36.59,47.64,-106.04
COM18,0.3263,-13.03,21.91,-36.14
COM19,0.3263,-64.79,59.94,48.33
COM20,0.3263,-20.47,11.5,27.73
COM21,0.3263,-65.5,52.64,-106.0
COM16,0.1464,-35.72,28.06,-82.04
COM18,0.1464,-30.06,16.74,-53.06
COM19,0.1464,-12.96,52.34,-8.75
COM20,0.1464,21.54,8.92,-27.53
COM21,0.1464,-11.99,50.63,-65.83
COM16,0.4752,-35.25,61.03,-127.54
COM18,0.4752,-8.47,25.35,-23.34
COM19,0.4752,-67.32,63.24,94.25
COM20,0.4752,-18.93,12.41,73.35
COM21,0.4752,-71.91,52.89,-129.35
COM16,0.393,-36.07,53.72,-115.37
COM18,0.393,-10.69,23.31,-30.17
COM19,0.393,-65.77,61.55,68.37
COM20,0.393,-20.08,12.01,48.09
COM21,0.393,-68.15,52.67,-115.79
COM16,0.6098,-34.12,72.93,-146.32
COM18,0.6098,-4.02,29.42,-12.03
COM19,0.6098,-69.72,66.13,136.3
COM20,0.6098,-17.78,13.22,113.37
COM21,0.6098,-77.93,53.25,-150.55
COM16,0.6363,-33.84,75.53,-149.91
COM18,0.6363,-3.29,29.88,-9.61
COM19,0.6363,-70.02,66.46,144.42
COM20,0.6363,-17.5,13.05,122.11
COM21,0.6363,-78.67,52.99,-154.64
COM16,0.0048,-36.89,16.42,-61.9
COM18,0.0048,-34.33,12.34,-64.62
COM19,0.0048,-10.7,49.5,-52.42
COM20,0.0048,20.37,7.9,-70.34
COM21,0.0048,-5.44,50.09,-43.31
COM16,0.0898,-36.02,23.37,-73.62
COM18,0.0898,-32.22,15.12,-57.2
COM19,0.0898,-12.12,51.01,-26.33
COM20,0.0898,20.98,8.6,-44.67
COM21,0.0898,-9.53,50.47,-56.5
COM16,0.0632,-35.68,-18.8,-79.75
COM18,0.0632,-26.07,29.91,-38.95
COM19,0.0632,-14.53,-18.0,-31.61
